FSM,Testcases,Cores,Total CPU,Execution GPU,Total GPU
hotline.test,1216433,8,13.538554,6.281376,39.112885
hotline.test,1216433,1,37.227724,6.281376,39.112885
hotline.test,1048576,32,11.516505,5.190752,33.245994
hotline.test,1048576,16,12.727695,5.190752,33.245994
hotline.test,1048576,8,10.543195,5.190752,33.245994
hotline.test,1048576,1,32.581801,5.190752,33.245994
hotline.test,524288,32,6.375197,4.331296,19.236428
hotline.test,524288,16,5.51482,4.331296,19.236428
hotline.test,524288,8,5.527531,4.331296,19.236428
hotline.test,524288,1,18.066934,4.331296,19.236428
hotline.test,262144,32,4.625948,3.90096,10.806357
hotline.test,262144,16,5.080546,3.90096,10.806357
hotline.test,262144,8,5.580331,3.90096,10.806357
hotline.test,262144,1,13.858917,3.90096,10.806357
hotline.test,131072,32,3.471539,3.682944,7.054824
hotline.test,131072,16,3.525038,3.682944,7.054824
hotline.test,131072,8,4.340715,3.682944,7.054824
hotline.test,131072,1,6.69989,3.682944,7.054824
hotline.test,65536,32,1.719845,3.574752,5.697595
hotline.test,65536,16,2.49313,3.574752,5.697595
hotline.test,65536,8,3.213196,3.574752,5.697595
hotline.test,65536,1,5.02586,3.574752,5.697595
hotline.test,32768,32,2.328723,3.54128,4.636634
hotline.test,32768,16,1.459128,3.54128,4.636634
hotline.test,32768,8,2.391301,3.54128,4.636634
hotline.test,32768,1,4.209274,3.54128,4.636634
hotline.test,16384,32,0.745907,3.504096,4.298601
hotline.test,16384,16,0.835304,3.504096,4.298601
hotline.test,16384,8,1.528131,3.504096,4.298601
hotline.test,16384,1,3.792321,3.504096,4.298601
hotline.test,8192,32,0.355981,3.407456,3.908537
hotline.test,8192,16,0.787043,3.407456,3.908537
hotline.test,8192,8,0.772796,3.407456,3.908537
hotline.test,8192,1,3.742244,3.407456,3.908537
hotline.test,4096,32,0.172019,3.123392,3.518542
hotline.test,4096,16,0.434344,3.123392,3.518542
hotline.test,4096,8,0.441816,3.123392,3.518542
hotline.test,4096,1,1.878525,3.123392,3.518542
hotline.test,2048,32,0.0836,3.122912,3.416225
hotline.test,2048,16,0.135632,3.122912,3.416225
hotline.test,2048,8,0.22454,3.122912,3.416225
hotline.test,2048,1,0.948447,3.122912,3.416225
ntp.test,1374296,32,39.592136,217.911936,263.229116
ntp.test,1374296,16,77.886339,217.911936,263.229116
ntp.test,1374296,8,80.0091,217.911936,263.229116
ntp.test,1374296,1,569.923915,217.911936,263.229116
ntp.test,1048576,32,32.60862,161.96912,196.283718
ntp.test,1048576,16,36.870136,161.96912,196.283718
ntp.test,1048576,8,60.822119,161.96912,196.283718
ntp.test,1048576,1,434.179737,161.96912,196.283718
ntp.test,524288,32,17.960216,81.869504,99.086011
ntp.test,524288,16,26.3583,81.869504,99.086011
ntp.test,524288,8,35.545174,81.869504,99.086011
ntp.test,524288,1,217.068392,81.869504,99.086011
ntp.test,262144,32,9.173394,42.055392,50.411344
ntp.test,262144,16,16.171856,42.055392,50.411344
ntp.test,262144,8,17.536558,42.055392,50.411344
ntp.test,262144,1,108.511533,42.055392,50.411344
ntp.test,131072,32,4.309147,22.649824,26.077119
ntp.test,131072,16,4.991359,22.649824,26.077119
ntp.test,131072,8,8.853241,22.649824,26.077119
ntp.test,131072,1,53.240482,22.649824,26.077119
ntp.test,65536,32,2.722629,13.251008,15.211327
ntp.test,65536,16,2.926845,13.251008,15.211327
ntp.test,65536,8,4.404062,13.251008,15.211327
ntp.test,65536,1,26.679431,13.251008,15.211327
ntp.test,32768,32,1.405629,8.570144,9.652647
ntp.test,32768,16,2.352051,8.570144,9.652647
ntp.test,32768,8,2.998363,8.570144,9.652647
ntp.test,32768,1,13.301023,8.570144,9.652647
ntp.test,16384,32,0.887825,3.892704,4.569516
ntp.test,16384,16,0.965908,3.892704,4.569516
ntp.test,16384,8,1.509553,3.892704,4.569516
ntp.test,16384,1,6.615591,3.892704,4.569516
ntp.test,8192,32,0.424426,2.925248,3.398554
ntp.test,8192,16,0.913596,2.925248,3.398554
ntp.test,8192,8,0.846339,2.925248,3.398554
